Name,Position,Goals,Assists,Shots,Shots on target,Shooting accuracy %,Big chances created,Big chances missed,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored
Jacob Blyth ,Forward,0,0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bojan ,Forward,7,1,36.0,15.0,42%,2.0,1.0,1.0,4.0,2.0,2.0,0.0
Yannick Bolasie ,Forward,5,3,57.0,26.0,46%,7.0,4.0,1.0,2.0,2.0,0.0,0.0
Wilfried Bony ,Forward,4,3,60.0,17.0,28%,3.0,4.0,2.0,0.0,2.0,0.0,0.0
Fabio Borini ,Forward,5,2,48.0,18.0,38%,3.0,3.0,0.0,4.0,1.0,1.0,0.0
Joel Campbell ,Forward,3,2,19.0,7.0,37%,4.0,2.0,0.0,0.0,3.0,0.0,0.0
Sergi Canós ,Forward,0,0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marouane Chamakh ,Forward,0,0,2.0,1.0,50%,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Chicharito ,Forward,0,0,1.0,1.0,100%,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Papiss Demba Cissé ,Forward,3,0,23.0,9.0,39%,0.0,1.0,2.0,0.0,0.0,0.0,0.0
Peter Crouch ,Forward,0,1,7.0,3.0,43%,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Danny Graham ,Forward,0,0,4.0,2.0,50%,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Keinan Davis ,Forward,0,0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Troy Deeney ,Forward,13,7,94.0,32.0,34%,12.0,3.0,3.0,10.0,0.0,6.0,0.0
Jermain Defoe ,Forward,15,1,85.0,39.0,46%,2.0,7.0,0.0,12.0,3.0,1.0,0.0
Memphis Depay ,Forward,2,0,57.0,17.0,30%,1.0,5.0,0.0,1.0,1.0,0.0,0.0
Gerard Deulofeu ,Forward,2,8,9.0,6.0,67%,9.0,1.0,0.0,1.0,1.0,0.0,0.0
Alessandro Diamanti ,Forward,0,0,1.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diego Costa ,Forward,12,6,68.0,28.0,41%,4.0,9.0,0.0,9.0,3.0,0.0,0.0
Mame Biram Diouf ,Forward,5,1,31.0,16.0,52%,1.0,7.0,5.0,0.0,0.0,0.0,0.0
Joseph Dodoo ,Forward,0,0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
