Name,Position,Goals,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Tackles,Interceptions,Recoveries,Duels won,Duels lost
Jack Cork ,Midfielder,1,2,"1,712",48.91,3.0,24.0,8%,3.0,79.0,77.0,83.0,199.0,209.0,162.0
Craig Gardner ,Midfielder,3,3,616,18.12,3.0,113.0,21%,2.0,26.0,51.0,30.0,111.0,118.0,142.0
Daniel Crowley ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juan Cuadrado ,Midfielder,0,0,9,9.0,0.0,1.0,0%,0.0,1.0,0.0,1.0,4.0,3.0,2.0
Josh Cullen ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tom Davies ,Midfielder,0,0,49,24.5,0.0,1.0,0%,0.0,2.0,1.0,5.0,5.0,5.0,5.0
Kevin De Bruyne ,Midfielder,7,9,"1,127",45.08,9.0,181.0,27%,15.0,48.0,28.0,18.0,131.0,94.0,154.0
Siem de Jong ,Midfielder,0,1,193,10.72,0.0,7.0,14%,0.0,5.0,16.0,4.0,21.0,32.0,43.0
Fabian Delph ,Midfielder,2,0,483,28.41,1.0,7.0,14%,1.0,10.0,26.0,22.0,65.0,65.0,52.0
Mousa Dembélé ,Midfielder,3,1,"1,378",47.52,0.0,4.0,25%,3.0,40.0,104.0,56.0,223.0,249.0,156.0
Eric Dier ,Midfielder,3,2,"2,084",56.32,3.0,19.0,11%,5.0,120.0,80.0,80.0,151.0,197.0,185.0
George Dobson ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Graham Dorrans ,Midfielder,0,1,724,34.48,1.0,14.0,21%,1.0,52.0,23.0,25.0,79.0,52.0,62.0
Abdoulaye Doucouré ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kieran Dowell ,Midfielder,0,0,30,15.0,0.0,5.0,0%,0.0,0.0,0.0,0.0,4.0,2.0,12.0
Luke Dreher ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Drinkwater ,Midfielder,2,7,"1,984",56.69,10.0,47.0,23%,11.0,137.0,106.0,55.0,342.0,191.0,203.0
Nathan Dyer ,Midfielder,1,1,74,5.69,1.0,6.0,33%,1.0,2.0,4.0,1.0,22.0,23.0,36.0
Connor Dymond ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyle Edwards ,Midfielder,0,0,0,0.0,0.0,0.0,,,,0.0,0.0,,,
Christian Eriksen ,Midfielder,6,13,"1,841",52.6,13.0,183.0,23%,12.0,77.0,47.0,34.0,191.0,116.0,165.0
George Evans ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cesc Fàbregas ,Midfielder,5,7,"2,829",76.46,13.0,105.0,22%,33.0,184.0,103.0,23.0,253.0,190.0,178.0
